team,pake,pase,wins,loss,w_percent,r64,r32,s16,e8,f4,f2,champ,top2,f4_percent,champ_percent,from,to
LSU,-0.8,-0.9,4,5,0.444,5,3,1,0,0,0,0,0,16.1,1.6,2008,2023
TCU,-0.8,-0.7,2,3,0.4,3,2,0,0,0,0,0,0,7.6,0.8,2008,2023
Colgate,-0.9,-0.5,0,4,0,4,0,0,0,0,0,0,0,0.5,0,2008,2023
Davidson,-0.9,0.3,3,6,0.333,6,1,1,1,0,0,0,0,11.2,2.3,2008,2023
UC Santa Barbara,-0.9,-0.9,0,4,0,4,0,0,0,0,0,0,0,0.3,0,2008,2023
Saint Joseph's,-0.9,-1,1,3,0.25,3,1,0,0,0,0,0,0,5.4,0.3,2008,2023
Valparaiso,-0.9,-0.4,0,2,0,2,0,0,0,0,0,0,0,0.7,0,2008,2023
Akron,-0.9,-1.1,0,4,0,4,0,0,0,0,0,0,0,0.5,0,2008,2023
Montana,-1,-0.9,0,5,0,5,0,0,0,0,0,0,0,0.6,0,2008,2023
Memphis,-1,0,10,8,0.556,8,5,2,1,1,1,0,2,72.7,32.5,2008,2023
San Francisco,-1,-0.6,0,1,0,1,0,0,0,0,0,0,0,3.3,0.3,2008,2023
Iona,-1,-1,0,7,0,7,0,0,0,0,0,0,0,0.6,0,2008,2023
USC,-1.1,-0.6,5,7,0.417,7,3,1,1,0,0,0,0,20.9,3.9,2008,2023
West Virginia,-1.1,-0.2,14,11,0.56,11,7,5,1,1,0,0,1,64.2,17.6,2008,2023
Boise St.,-1.2,-1.5,0,3,0,3,0,0,0,0,0,0,0,2,0.2,2008,2023
Kent St.,-1.2,-1,0,3,0,3,0,0,0,0,0,0,0,1.1,0,2008,2023
Georgia,-1.2,-1.4,0,3,0,3,0,0,0,0,0,0,0,1.6,0,2008,2023
Wofford,-1.2,-0.9,1,5,0.167,5,1,0,0,0,0,0,0,3.6,0.2,2008,2023
Bucknell,-1.2,-1.2,0,4,0,4,0,0,0,0,0,0,0,1.9,0.1,2008,2023
Mississippi St.,-1.2,-1.1,1,3,0.25,3,1,0,0,0,0,0,0,5.7,0.3,2008,2023
Providence,-1.3,-2.1,3,6,0.333,6,2,1,0,0,0,0,0,9.4,0.7,2008,2023
St. John's,-1.3,-1.7,0,2,0,2,0,0,0,0,0,0,0,3.4,0.2,2008,2023
California,-1.4,-1.7,2,4,0.333,4,2,0,0,0,0,0,0,8.2,1,2008,2023
Minnesota,-1.5,-1.7,2,5,0.286,5,2,0,0,0,0,0,0,9.3,0.9,2008,2023
Colorado,-1.5,-1.8,2,5,0.286,5,2,0,0,0,0,0,0,14.3,1.9,2008,2023
Indiana,-1.6,-2.4,7,7,0.5,7,4,3,0,0,0,0,1,49.2,12.6,2008,2023
Marquette,-1.6,-2.2,10,10,0.5,10,6,3,1,0,0,0,1,44.5,7.8,2008,2023
St. Bonaventure,-1.6,-1.4,0,3,0,3,0,0,0,0,0,0,0,3,0.2,2008,2023
South Dakota St.,-1.6,-1.7,0,6,0,6,0,0,0,0,0,0,0,2.1,0,2008,2023
Vermont,-1.7,-0.9,0,6,0,6,0,0,0,0,0,0,0,1.6,0,2008,2023
Arizona,-1.7,-2.6,17,11,0.607,11,7,7,3,0,0,0,5,83.5,36.1,2008,2023
New Mexico St.,-1.9,-2,1,9,0.1,9,1,0,0,0,0,0,0,2.5,0,2008,2023
Iowa St.,-2,-1.5,9,9,0.5,9,6,3,0,0,0,0,0,40.7,6,2008,2023
Arizona St.,-2,-2,1,4,0.2,4,1,0,0,0,0,0,0,9.4,1.6,2008,2023
Alabama,-2.1,-2.9,5,5,0.5,5,3,2,0,0,0,0,2,48.4,15.4,2008,2023
Drake,-2.2,-2.3,0,3,0,3,0,0,0,0,0,0,0,9.2,1,2008,2023
Belmont,-2.4,-1.9,0,6,0,6,0,0,0,0,0,0,0,6.4,0.5,2008,2023
Seton Hall,-2.4,-2.7,1,5,0.167,5,1,0,0,0,0,0,0,9.9,1.1,2008,2023
UNLV,-2.5,-3.3,1,5,0.167,5,1,0,0,0,0,0,0,7.8,0.7,2008,2023
Tennessee,-2.6,-1,13,10,0.565,10,7,5,1,0,0,0,2,68.5,20.8,2008,2023
Virginia Tech,-2.6,-2.1,2,5,0.286,5,1,1,0,0,0,0,0,19.2,2.5,2008,2023
SMU,-2.6,-2.1,0,2,0,2,0,0,0,0,0,0,0,13.6,2.5,2008,2023
Temple,-2.6,-3.5,2,7,0.222,7,2,0,0,0,0,0,0,13.5,1.4,2008,2023
New Mexico,-2.7,-3.7,2,4,0.333,4,2,0,0,0,0,0,0,17.1,1.7,2008,2023
Saint Mary's,-2.7,-1.6,5,8,0.385,8,4,1,0,0,0,0,0,26.7,5.2,2008,2023
Missouri,-2.9,-3.2,5,8,0.385,8,3,1,1,0,0,0,1,35.3,7.3,2008,2023
Iowa,-3.1,-2.6,4,6,0.4,6,4,0,0,0,0,0,1,33,7.2,2008,2023
Illinois,-3.3,-4.1,4,6,0.4,6,4,0,0,0,0,0,1,39,8.7,2008,2023
Vanderbilt,-3.4,-5,1,5,0.167,5,1,0,0,0,0,0,0,12.5,1.8,2008,2023
BYU,-3.4,-3,3,7,0.3,7,2,1,0,0,0,0,0,29.8,5.3,2008,2023
